SK_ID_CURR,TARGET
149741,0.59432137
363290,0.4754168
436006,0.5270312
377703,0.46486053
188624,0.5820915
454397,0.5003928
358007,0.48506314
140209,0.5187053
234837,0.38124248
269983,0.50163674
435574,0.48997572
299809,0.56903404
386485,0.5393176
269948,0.47717986
280976,0.5530569
238068,0.5256799
304049,0.50088155
414990,0.5276458
217203,0.49789205
376182,0.44633842
105944,0.5180602
141357,0.5139301
309630,0.4388266
242368,0.5459891
442101,0.50752306
398068,0.49648884
200440,0.5362346
130746,0.4794321
391997,0.45667598
290025,0.4699156
343846,0.47006753
126485,0.5552473
104163,0.58217144
362585,0.5241024
208568,0.48261836
223220,0.49570948
115449,0.46740755
157918,0.47958097
235847,0.5546158
424643,0.5362531
260115,0.45562008
101029,0.5016185
209683,0.49916276
332916,0.48348033
170649,0.47516394
148754,0.50892746
322016,0.5165449
410057,0.4508896
400391,0.5196722
303311,0.5456042
306375,0.55498224
349106,0.4763034
276461,0.46245906
410126,0.43063256
150037,0.5104335
454632,0.50882643
174402,0.5622348
261588,0.50003594
348830,0.5025667
340159,0.503993
389531,0.50267863
162563,0.535704
334705,0.40893444
304569,0.4513996
310542,0.54669446
308062,0.4795221
261605,0.43760493
322239,0.45236838
117154,0.5470461
364023,0.49423844
348864,0.47355205
345535,0.52014023
228272,0.5455389
418424,0.5426015
383965,0.46081263
145408,0.47736862
427237,0.46439153
264554,0.5185624
174096,0.47318423
354555,0.47129822
410575,0.49218488
186995,0.53853935
283181,0.5560435
434215,0.5769156
337331,0.5712815
424061,0.4625273
232858,0.4974619
176976,0.49579015
289643,0.62521386
261786,0.4311174
160826,0.49010772
148685,0.45116293
184353,0.50041306
129079,0.49683207
169069,0.5694638
196926,0.5571077
221111,0.53428936
167852,0.41680172
297652,0.5023341
181938,0.51175714
293370,0.5505974
421379,0.4869187
332561,0.4853021
340723,0.5134641
229097,0.46727365
175449,0.49659213
193445,0.5214299
330554,0.483675
302817,0.50985765
424238,0.5543012
175232,0.5698392
390273,0.49811444
187554,0.47477415
283526,0.50434124
422721,0.5345029
416240,0.53079253
259330,0.45609462
434371,0.5200218
382582,0.5569755
197878,0.45566112
189555,0.48508126
273167,0.5630685
241255,0.48022112
168675,0.53073066
260249,0.47623765
181438,0.5119906
247375,0.5470463
426054,0.50904727
264562,0.4902544
133340,0.5721008
325719,0.5458774
447395,0.4482039
452598,0.45660713
311400,0.5396367
341080,0.5086529
373081,0.53801113
404162,0.5397653
242418,0.5568673
237969,0.46304703
360771,0.51286936
231795,0.46233305
146290,0.4382479
421260,0.49918914
315059,0.4659495
282509,0.4831194
182155,0.56524926
107722,0.52116215
396388,0.5271956
330258,0.51397604
